file_path,route_or_function,query_type,model,pagination,limit,selected_fields,included_relations,cache_status,client_or_server,risk_level,notes,phase_2a_status,phase_2a_notes
src/lib/data.ts,getTermById,findUnique,term,no,none,"id; programId; name; order; createdAt; program; subjects(id,name,description,_count); termPapers",program; termPapers,React cache() + page ISR (24h),server,Low,Was fetching every Resource+Question row just to call .length(),FIXED,"select narrowed: subjects now use a filtered Prisma _count (resources, questions where isRepeated) instead of full resource/question rows (including large ocrText/rawOcrText fields); wrapped in React cache(); added `export const revalidate = 86400` to /terms/[id]/page.tsx"
src/lib/data.ts,getSubjectById,findUnique,subject,no,none,"term.program; resources(id,subjectId,type,title,year,academicYear,fileUrl,fileName,fileSize,fileHash,ocrTextHash,pageCount,downloads,createdAt); questions; analysis; notes; driveSubjects.files",term; resources; questions; analysis; notes; driveSubjects,React cache() + page ISR (6h),server,Low,Was the single biggest suspected egress driver,FIXED,"resources select narrowed to drop the large ocrText @db.Text column (replaced with an ocrTextHash-derived boolean, same rendered behavior); wrapped in React cache(); added `export const revalidate = 21600` to /subjects/[id]/page.tsx"
src/lib/data.ts,getExamSessions,findMany,examSession,no,none,all fields,_count.links,no caching found,server,Low,Public archive listing,UNCHANGED,"Not flagged as a query-count risk (bounded by number of exam sessions, which is small); caller /exam-sessions/page.tsx already static"
src/lib/data.ts,getExamSessionById,findUnique,examSession,no,none,all fields,links (program),React cache() + page ISR (24h),server,Low,Could be hundreds of links per session,FIXED,"Wrapped in React cache() (generateMetadata()+page duplicate); added `export const revalidate = 86400` to /exam-sessions/[id]/page.tsx"
src/lib/data.ts,getSessionLinkWithSubjects,findUnique,sessionProgramLink,no,none,all fields,session; program; driveFiles.driveSubject,React cache(),server,Low,Could be hundreds of drive files per link,FIXED,"Wrapped in React cache(); caller /exam-sessions/[id]/[linkId]/page.tsx was already `dynamic=""force-static""`"
src/lib/data.ts,getPyqArchiveIndex,findMany,resource,scoped (optional),none,"id; title; year; academicYear; pageCount; subject.term.program",subject; term; program,scoped query + diagnostics,server,Low (scoped) / Medium (unscoped full-archive path),type=PYQ AND ocrText!=null; NO take limit,FIXED (scoped) / ACCEPTED (unscoped),"Added optional {subjectName, programName} scope pushed into the Prisma `where`. /subjects/[id] now calls it scoped to one subject. /pyq-notes still calls the unscoped form deliberately — see getUnifiedPyqArchive notes below"
src/lib/data.ts,getPyqResourceById,findFirst,resource,no,none,all fields (incl. ocrText — genuinely rendered here),subject; questions,React cache() + page ISR (6h),server,Low,Public paper reading page,FIXED,"Wrapped in React cache() (generateMetadata()+page were each fetching, including the large ocrText field, separately); added `export const revalidate = 21600` to /pyq-notes/[id]/page.tsx"
src/lib/data.ts,getFullDriveArchiveIndex,findMany,driveFileMatch,scoped (optional),none,"id; fileName; year; webViewLink; driveSubject; link.session",driveSubject; link.session,scoped query + diagnostics,server,Low (scoped) / Medium (unscoped full-archive path),driveSubjectId!=null; NO take limit,FIXED (scoped) / ACCEPTED (unscoped),"Same {subjectName, programName} scope as getPyqArchiveIndex, pushed into driveSubject relation filter. Used by /subjects/[id] (subjectName) and /api/catalog-combined-pdf (programName)"
src/lib/data.ts,searchSubjects,findMany,subject,no,none,all fields,term.program,unstable_cache 5min + tag ""subjects"",server,Low,mergedIntoId=null; was unbounded on every keystroke,FIXED,"The subjects+aliases fetch is now wrapped in unstable_cache (tags:[""subjects""], revalidate:300); ranking/filtering by query text still runs fresh per request over the cached list. revalidateTag(""subjects"",""max"") added to the subject-mutating admin actions (create/update/merge/delete) so edits don't wait the full 5 minutes"
src/lib/data.ts,searchSubjects,findMany,subjectAlias,no,none,subjectId; normalizedName,none,unstable_cache 5min + tag ""subjects"",server,Low,Was a per-keystroke `contains` query,FIXED,"Folded into the same cached index as subjects above; alias substring-matching now runs in memory over the cached (small) alias list instead of a fresh Postgres `contains` query per keystroke"
src/lib/data.ts,getRecentResources,findMany,resource,yes,6,all fields,subject.program,no caching found,server,Low,Paginated homepage widget,UNCHANGED,Already bounded (take 6); not a Phase 2A target
src/lib/data.ts,getResourceHighlights,findFirst,resource,no,none,all fields,subject (id; name),no caching found,server,Low,Public homepage,UNCHANGED,Single-row lookups; not a scan risk
src/lib/data.ts,getResourceHighlights,findFirst,resource,no,none,all fields,subject (id; name),no caching found,server,Low,Public homepage,UNCHANGED,Single-row lookups; not a scan risk
src/lib/data.ts,getResourceHighlights,count,resource,no,none,N/A,N/A,no caching found,server,Low,Public homepage,UNCHANGED,Cheap COUNT
src/lib/data.ts,getResourceHighlights,count,resource,no,none,N/A,N/A,no caching found,server,Low,Public homepage,UNCHANGED,Cheap COUNT
src/lib/data.ts,getDailyQuestion,count,question,no,none,N/A,N/A,no caching found,server,Low,Used to compute modulo offset for rotation,UNCHANGED,See remaining risks — full-scan risk grows with table size but out of scope for this pass
src/lib/data.ts,getDailyQuestion,findFirst,question,yes,1,all fields,subject (id; name),no caching found,server,Medium,skip/take rotation; no supporting index,UNCHANGED,"See remaining risks; Question got a new (subjectId,isRepeated) index this pass, not a createdAt index for this specific rotation query"
src/lib/data.ts,getSiteSettings,findUnique,siteSettings,no,none,all fields,none,React cache() wrapper,server,Low,Correctly cached with React cache,UNCHANGED,Already correct before Phase 2A
src/lib/data.ts,getStats,count,"program; subject; resource; question",no,none,N/A,N/A,no caching found,server,Low,Four counts batched in Promise.all; public homepage,UNCHANGED,"Cheap COUNTs, not a Phase 2A target"
src/lib/student.ts,upsertStudentForDevice,findUnique,student,no,none,all fields,none,no caching found,server,Low,Lookup by deviceId,UNCHANGED,"Out of scope — per-device, cannot be shared-cached"
src/lib/student.ts,getCurrentStudent,findUnique,student,no,none,all fields,none,no caching found,server,Low,Public dashboard; per-user data,UNCHANGED,"Out of scope — personalized, must never be publicly cached"
src/lib/student.ts,getCommunityOrangesTotal,aggregate,student,no,none,_sum.oranges,none,no caching found,server,Low,Public leaderboard,UNCHANGED,Cheap aggregate; not a Phase 2A target
src/lib/student.ts,getLeaderboard,findMany,student,yes,20,"id; nickname; oranges; streak",none,no caching found,server,Low,Paginated leaderboard,UNCHANGED,Already bounded (take 20)
src/lib/student.ts,getTodayOranges,aggregate,orangeEvent,no,none,_sum.amount,none,no caching found,server,Low,Single student aggregate,UNCHANGED,Out of scope — personalized
src/lib/student.ts,getUpcomingExamDates,findMany,studentExamDate,yes,5,all fields,none,no caching found,server,Low,Paginated,UNCHANGED,"Already bounded (take 5); personalized, must not be shared-cached"
src/lib/coverage-data.ts,getCourseCoverageData,findUniqueOrThrow,program,no,none,all fields,"terms.subjects.resources; terms.subjects.driveSubjects.files",no caching found,server,High,Deep nested; could return megabytes for large programs; admin-only,UNCHANGED,"Flagged but not fixed this pass — admin-only tool (/admin/course-coverage), not a public egress source; see remaining risks for a recommended follow-up select-narrowing"
src/lib/coverage-data.ts,getCourseCoverageData,findMany,driveSubject,no,none,"id; name; _count.files",none,no caching found,server,Low,Admin-only,UNCHANGED,Already select-narrowed; admin-only
src/lib/subject-normalization-data.ts,getSuggestions,findMany,subjectMergeSuggestion,yes,200,all fields,term.program,no caching found,server,Medium,take=200 still large; admin-only,UNCHANGED,Out of scope — admin-only
src/lib/subject-normalization-data.ts,getSuggestions,findMany,subject,no,none,"all fields; _count.resources; _count.questions",none,no caching found,server,Medium,No take; admin-only,UNCHANGED,Out of scope — admin-only; bounded in practice by pending-suggestion count
src/lib/subject-normalization-data.ts,getProgramsWithTerms,findMany,program,no,none,all fields,terms,no caching found,server,Low,Admin-only,UNCHANGED,Out of scope — admin-only
src/lib/actions.ts,matchUnsortedFromCsvAction,findFirst; findMany,program; subject,no,none,all fields,terms; subjects,no caching found,server,Medium,CSV matching; admin action,UNCHANGED,"Out of scope — one-shot admin CSV import, not a per-request public read"
src/lib/actions.ts,createSubjectsFromCsvAction,findMany,program,no,none,all fields,terms.subjects,no caching found,server,Medium,Deep nested fetch; admin action,UNCHANGED,Out of scope — one-shot admin CSV import
src/lib/actions.ts,mergeSubjectsAction,$transaction (updateMany/update/delete),"resource; question; driveSubject; subjectMatchMemory; noteTheme; subjectNotes; subjectAnalysis; subject",N/A,N/A,N/A,none,no caching found,server,Medium,8+ operation transaction; admin action,PARTIALLY FIXED,"Not the query itself — added revalidateTag(""subjects"",""max"") after the merge so the cached search index reflects the merge without waiting for its 5-minute TTL"
src/lib/actions.ts,deployFailedUploadsFromCsvAction,findMany,program; failedUpload,no,none,all fields,terms.subjects,no caching found,server,Medium,Fetches entire catalog + all pending uploads; admin action,UNCHANGED,Out of scope — one-shot admin CSV import
src/lib/note-theme-data.ts,getResolvedThemeForNote,findFirst x3,noteTheme,no,none,all fields,publishedJson,no caching found,server,Low,3 parallel queries per note render; public,UNCHANGED,Not flagged in the audit as a transfer driver; small table (theme count is tiny); out of scope this pass
src/lib/note-theme-data.ts,listNoteThemes,findMany,noteTheme,no,none,all fields,subject (id; name),no caching found,server,Low,Admin-only,UNCHANGED,Out of scope — admin-only
src/lib/pyq-catalog.ts,getFullPyqCatalog,findMany,catalogPaperUpload,no,none,all fields,none,no caching found,server,Low,Public; part of unified archive merge,UNCHANGED,Small admin-managed table; not flagged as a transfer driver
src/components/search-bar.tsx,search typeahead,fetch to /api/search-suggestions,subject (via API),no,8 (server-side),n/a,n/a,debounced 400ms + 2-char minimum,client,Low,Was debounced at 200ms with no minimum length,FIXED,"Debounce raised 200ms->400ms (within the requested 300-500ms range); client now skips firing below 2 characters; server (/api/search-suggestions) independently floors query length at 2 chars and caps results at 8"
src/lib/pyq-catalog.ts,getUnifiedPyqArchive (called from /subjects/[id]),merged union of 3 sources,"catalogPaperUpload; resource; driveFileMatch",no (see notes),none,see pyq-catalog.ts,see above,scoped query + page ISR (6h),server,Low,Was the single biggest suspected egress driver,FIXED,"Now called as getUnifiedPyqArchive({subjectName: subject.name}) — the two Postgres-backed sub-fetches (getPyqArchiveIndex/getFullDriveArchiveIndex) are scoped to this one subject via a Prisma `where`, instead of scanning every PYQ resource and every synced Drive file on the site. The bundled static catalog (2,431 rows, no DB cost either way) stays unfiltered and is still filtered in memory by the caller, unchanged. Combined with the page's new 6h revalidate, this is no longer a full-table scan on every visit"
src/app/(site)/pyq-notes/page.tsx,PyqNotesPage,calls getUnifiedPyqArchive(),"catalogPaperUpload; resource; driveFileMatch",no,none,see pyq-catalog.ts,see above,page-level ISR revalidate=3600 (pre-existing),server,Low,Full-archive browse page for its client-side grouping UI,ACCEPTED — not rewritten,"This page already had `export const revalidate = 3600` before Phase 2A (confirmed in code, contradicting the Phase 1 audit's finding — likely fixed between the audit and this pass). It still fetches the complete unified archive and hands it to a client component (CatalogArchiveBrowser) for grouping/filtering. A true server-side-paginated rewrite would require redesigning that ~735-line client UI, which is out of scope (""do not redesign the UI""). The new getPaginatedPyqArchive() in pyq-catalog.ts is available as the primitive for that rewrite whenever it's greenlit — see docs/PHASE_2_QUERY_REMEDIATION.md"
src/lib/pyq-catalog.ts,getPaginatedPyqArchive (new),"findMany-backed merge, then in-memory paginated","catalogPaperUpload; resource; driveFileMatch",yes (page/pageSize),20 default / 50 max,filtered CatalogPaper[],n/a,scoped via getUnifiedPyqArchive,server,Low,New function — not yet wired into any route,NEW,"General-purpose {items,page,pageSize,total,totalPages} primitive matching the Phase 2 spec exactly (programme/course/semester/subject/year/paperType/examSession/search/page/pageSize). programme+subject are pushed into Postgres via the existing scope mechanism; semester/year/paperType/examSession/search run in memory over the already-scoped result, because the archive unions one static JSON catalog with several DB tables and admin overrides — there is no single SQL table to push a LIMIT/OFFSET into across all of that. Covered by src/lib/__tests__/pyq-archive-pagination.test.ts"
src/app/api/catalog-combined-pdf/route.ts,GET,calls getUnifiedPyqArchive(),"catalogPaperUpload; resource; driveFileMatch",no,none,see pyq-catalog.ts,see above,scoped query + rate limit (10/min/IP),server,Low,Fetched the entire site-wide archive to filter down to one course,FIXED,"Now called as getUnifiedPyqArchive({programName: course}); also rate-limited since it fans out into up to 60 external PDF fetches per request"
