sourceFile,sourceRow,originalProgramme,originalTerm,originalSubject,originalExamSession,rejectionReason,proposedResolution,confidence,automaticResolutionSafe,manualReviewRequired,category,missingProgramSlug
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=17,Question papers mix+ Research Methodology,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=question-papers-mix-research-methodology),no deterministic target — requires manual data decision,0.05,false,true,malformed row,question-papers-mix-research-methodology
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=18,All SEC,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=all-sec),alias -> Program(slug=university-wide-skill-enhancement-course-pool),0.85,true,false,programme-name variation,all-sec
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=19,ALL GE,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=all-ge),no deterministic target — requires manual data decision,0.15,false,true,missing programme,all-ge
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=20,ALL VAC,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=all-vac),alias -> Program(slug=university-wide-value-addition-course-pool),0.85,true,false,programme-name variation,all-vac
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=21,All common prog. Group (AEC),,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=all-common-prog-group-aec),no deterministic target — requires manual data decision,0.15,false,true,missing programme,all-common-prog-group-aec
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=22,B.A/B.Sc. Prog,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=babsc-prog),no deterministic target — requires manual data decision,0.1,false,true,invalid source data,babsc-prog
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=0,B.A. (Programme),,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-programme),no deterministic target — requires manual data decision,0.2,false,true,missing programme,ba-programme
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=1,B.A. (H) Economics,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-economics),alias -> Program(slug=ba-hons-economics),0.9,true,false,programme-name variation,ba-h-economics
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=2,B.A. (H) English,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-english),alias -> Program(slug=ba-hons-english),0.55,false,true,programme-name variation,ba-h-english
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=3,B.A. (H) Hindi,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-hindi),alias -> Program(slug=ba-hons-hindi),0.9,true,false,programme-name variation,ba-h-hindi
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=4,B.A. (H) History,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-history),alias -> Program(slug=history-honours),0.7,false,true,programme-name variation,ba-h-history
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=5,B.A. (H) Political Science,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-political-science),alias -> Program(slug=ba-hons-political-science),0.9,true,false,programme-name variation,ba-h-political-science
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=6,B.A. (H) Sanskrit,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sanskrit),alias -> Program(slug=ba-hons-sanskrit),0.9,true,false,programme-name variation,ba-h-sanskrit
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=7,B.A. (H) Sociology,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sociology),alias -> Program(slug=ba-hons-socialogy),0.85,true,false,programme-name variation,ba-h-sociology
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=8,B.Com. (Programme),,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bcom-programme),alias -> Program(slug=bcom-p),0.9,true,false,programme-name variation,bcom-programme
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=9,B.Com. (H),,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bcom-h),alias -> Program(slug=bcom-hons),0.9,true,false,programme-name variation,bcom-h
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=10,B.Sc. Life Sciences+PHY SC.,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-life-sciencesphy-sc),no deterministic target — requires manual data decision,0.15,false,true,invalid source data,bsc-life-sciencesphy-sc
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=11,B.Sc.Prog. Physical science/B.A.,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bscprog-physical-scienceba),no deterministic target — requires manual data decision,0.1,false,true,invalid source data,bscprog-physical-scienceba
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=12,B.Sc. (H) Botany,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-botany),alias -> Program(slug=bsc-hons-botany),0.9,true,false,programme-name variation,bsc-h-botany
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=13,B.Sc. (H) Chemistry,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-chemistry),alias -> Program(slug=bsc-hons-chemistry),0.9,true,false,programme-name variation,bsc-h-chemistry
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=14,B.Sc. (H) Mathematics,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-mathematics),alias -> Program(slug=bsc-hons-mathematics),0.9,true,false,programme-name variation,bsc-h-mathematics
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=15,B.Sc. (H) Physics,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-physics),alias -> Program(slug=bsc-hons-physics),0.9,true,false,programme-name variation,bsc-h-physics
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=16,B.Sc. (H) Zoology,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-zoology),alias -> Program(slug=bsc-hons-zoology),0.9,true,false,programme-name variation,bsc-h-zoology
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=17,Question papers mix(All dates folder),,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=question-papers-mixall-dates-folder),no deterministic target — requires manual data decision,0.05,false,true,malformed row,question-papers-mixall-dates-folder
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=18,All SEC,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-sec),alias -> Program(slug=university-wide-skill-enhancement-course-pool),0.85,true,false,programme-name variation,all-sec
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=19,ALL GE,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-ge),no deterministic target — requires manual data decision,0.15,false,true,missing programme,all-ge
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=20,ALL VAC,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-vac),alias -> Program(slug=university-wide-value-addition-course-pool),0.85,true,false,programme-name variation,all-vac
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=21,ALL AEC/AECC,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-aecaecc),alias -> Program(slug=university-wide-ability-enhancement-course-pool),0.75,true,false,programme-name variation,all-aecaecc
src/data/exam-sessions-source.ts,session=2025 (May-June-July) Question Papers row=22,All common prog. Group,,,2025 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-common-prog-group),no deterministic target — requires manual data decision,0.15,false,true,missing programme,all-common-prog-group
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=0,B.A. (Programme),,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-programme),no deterministic target — requires manual data decision,0.2,false,true,missing programme,ba-programme
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=1,B.A. (H) Economics,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-economics),alias -> Program(slug=ba-hons-economics),0.9,true,false,programme-name variation,ba-h-economics
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=2,B.A. (H) English,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-english),alias -> Program(slug=ba-hons-english),0.55,false,true,programme-name variation,ba-h-english
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=3,B.A. (H) Hindi (Note:- all in one file),,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-hindi-note-all-in-one-file),no deterministic target — requires manual data decision,0.1,false,true,malformed row,ba-h-hindi-note-all-in-one-file
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=4,B.A. (H) History,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-history),alias -> Program(slug=history-honours),0.7,false,true,programme-name variation,ba-h-history
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=5,B.A. (H) Political Science,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-political-science),alias -> Program(slug=ba-hons-political-science),0.9,true,false,programme-name variation,ba-h-political-science
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=6,B.A. (H) Sanskrit (Note:- all in one file),,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sanskrit-note-all-in-one-file),no deterministic target — requires manual data decision,0.1,false,true,malformed row,ba-h-sanskrit-note-all-in-one-file
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=7,B.A. (H) Sociology,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sociology),alias -> Program(slug=ba-hons-socialogy),0.85,true,false,programme-name variation,ba-h-sociology
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=8,B.Com. (Programme),,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bcom-programme),alias -> Program(slug=bcom-p),0.9,true,false,programme-name variation,bcom-programme
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=9,B.Com. (H),,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bcom-h),alias -> Program(slug=bcom-hons),0.9,true,false,programme-name variation,bcom-h
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=10,B.Sc. Life Sciences+PHY SC.,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bsc-life-sciencesphy-sc),no deterministic target — requires manual data decision,0.15,false,true,invalid source data,bsc-life-sciencesphy-sc
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=11,B.Sc. (H) Botany,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-botany),alias -> Program(slug=bsc-hons-botany),0.9,true,false,programme-name variation,bsc-h-botany
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=12,B.Sc. (H) Chemistry,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-chemistry),alias -> Program(slug=bsc-hons-chemistry),0.9,true,false,programme-name variation,bsc-h-chemistry
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=13,B.Sc. (H) Mathematics,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-mathematics),alias -> Program(slug=bsc-hons-mathematics),0.9,true,false,programme-name variation,bsc-h-mathematics
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=14,B.Sc. (H) Physics,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-physics),alias -> Program(slug=bsc-hons-physics),0.9,true,false,programme-name variation,bsc-h-physics
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=15,B.Sc. (H) Zoology,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-zoology),alias -> Program(slug=bsc-hons-zoology),0.9,true,false,programme-name variation,bsc-h-zoology
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=16,All SEC,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=all-sec),alias -> Program(slug=university-wide-skill-enhancement-course-pool),0.85,true,false,programme-name variation,all-sec
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=17,ALL GE,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=all-ge),no deterministic target — requires manual data decision,0.15,false,true,missing programme,all-ge
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=18,ALL AEC,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=all-aec),alias -> Program(slug=university-wide-ability-enhancement-course-pool),0.85,true,false,programme-name variation,all-aec
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=19,ALL VAC,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=all-vac),alias -> Program(slug=university-wide-value-addition-course-pool),0.85,true,false,programme-name variation,all-vac
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=20,ALL COMMON GROUP PROGRAMME,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=all-common-group-programme),no deterministic target — requires manual data decision,0.15,false,true,missing programme,all-common-group-programme
src/data/exam-sessions-source.ts,session=2024-25 (Dec-Jan-Feb) Question Papers row=21,B.Sc. PHY SC,,,2024-25 (Dec-Jan-Feb) Question Papers,unresolved_fk: missing parent Program(slug=bsc-phy-sc),no deterministic target — requires manual data decision,0.15,false,true,invalid source data,bsc-phy-sc
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=0,B.A. (Programme),,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-programme),no deterministic target — requires manual data decision,0.2,false,true,missing programme,ba-programme
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=1,B.A. (H) Economics,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-economics),alias -> Program(slug=ba-hons-economics),0.9,true,false,programme-name variation,ba-h-economics
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=2,B.A. (H) English,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-english),alias -> Program(slug=ba-hons-english),0.55,false,true,programme-name variation,ba-h-english
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=3,B.A. (H) Hindi,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-hindi),alias -> Program(slug=ba-hons-hindi),0.9,true,false,programme-name variation,ba-h-hindi
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=4,B.A. (H) History,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-history),alias -> Program(slug=history-honours),0.7,false,true,programme-name variation,ba-h-history
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=5,B.A. (H) Political Science,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-political-science),alias -> Program(slug=ba-hons-political-science),0.9,true,false,programme-name variation,ba-h-political-science
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=6,B.A. (H) Sanskrit,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sanskrit),alias -> Program(slug=ba-hons-sanskrit),0.9,true,false,programme-name variation,ba-h-sanskrit
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=7,B.A. (H) Sociology,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sociology),alias -> Program(slug=ba-hons-socialogy),0.85,true,false,programme-name variation,ba-h-sociology
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=8,B.Com. (Programme),,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bcom-programme),alias -> Program(slug=bcom-p),0.9,true,false,programme-name variation,bcom-programme
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=9,B.Com. (H),,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bcom-h),alias -> Program(slug=bcom-hons),0.9,true,false,programme-name variation,bcom-h
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=10,B.Sc. Life Sciences+PHY SC.,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-life-sciencesphy-sc),no deterministic target — requires manual data decision,0.15,false,true,invalid source data,bsc-life-sciencesphy-sc
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=11,B.Sc.Prog. Physical science,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bscprog-physical-science),no deterministic target — requires manual data decision,0.15,false,true,invalid source data,bscprog-physical-science
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=12,B.Sc. (H) Botany,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-botany),alias -> Program(slug=bsc-hons-botany),0.9,true,false,programme-name variation,bsc-h-botany
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=13,B.Sc. (H) Chemistry,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-chemistry),alias -> Program(slug=bsc-hons-chemistry),0.9,true,false,programme-name variation,bsc-h-chemistry
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=14,B.Sc. (H) Mathematics,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-mathematics),alias -> Program(slug=bsc-hons-mathematics),0.9,true,false,programme-name variation,bsc-h-mathematics
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=15,B.Sc. (H) Physics,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-physics),alias -> Program(slug=bsc-hons-physics),0.9,true,false,programme-name variation,bsc-h-physics
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=16,B.Sc. (H) Zoology,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-zoology),alias -> Program(slug=bsc-hons-zoology),0.9,true,false,programme-name variation,bsc-h-zoology
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=17,B.Sc. (H)+Prog.,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=bsc-hprog),no deterministic target — requires manual data decision,0.1,false,true,invalid source data,bsc-hprog
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=18,All SEC,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-sec),alias -> Program(slug=university-wide-skill-enhancement-course-pool),0.85,true,false,programme-name variation,all-sec
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=19,ALL GE,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-ge),no deterministic target — requires manual data decision,0.15,false,true,missing programme,all-ge
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=20,ALL VAC,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-vac),alias -> Program(slug=university-wide-value-addition-course-pool),0.85,true,false,programme-name variation,all-vac
src/data/exam-sessions-source.ts,session=2024 (May-June-July) Question Papers row=21,ALL AEC/AECC,,,2024 (May-June-July) Question Papers,unresolved_fk: missing parent Program(slug=all-aecaecc),alias -> Program(slug=university-wide-ability-enhancement-course-pool),0.75,true,false,programme-name variation,all-aecaecc
src/data/exam-sessions-source.ts,session=2023-24 (Dec-Feb) Question Papers row=0,B.A. (Programme),,,2023-24 (Dec-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-programme),no deterministic target — requires manual data decision,0.2,false,true,missing programme,ba-programme
src/data/exam-sessions-source.ts,session=2023-24 (Dec-Feb) Question Papers row=1,B.A. (H) Economics,,,2023-24 (Dec-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-economics),alias -> Program(slug=ba-hons-economics),0.9,true,false,programme-name variation,ba-h-economics
src/data/exam-sessions-source.ts,session=2023-24 (Dec-Feb) Question Papers row=2,B.A. (H) English,,,2023-24 (Dec-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-english),alias -> Program(slug=ba-hons-english),0.55,false,true,programme-name variation,ba-h-english
src/data/exam-sessions-source.ts,session=2023-24 (Dec-Feb) Question Papers row=3,B.A. (H) Hindi,,,2023-24 (Dec-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-hindi),alias -> Program(slug=ba-hons-hindi),0.9,true,false,programme-name variation,ba-h-hindi
src/data/exam-sessions-source.ts,session=2023-24 (Dec-Feb) Question Papers row=4,B.A. (H) History,,,2023-24 (Dec-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-history),alias -> Program(slug=history-honours),0.7,false,true,programme-name variation,ba-h-history
src/data/exam-sessions-source.ts,session=2023-24 (Dec-Feb) Question Papers row=5,B.A. (H) Political Science,,,2023-24 (Dec-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-political-science),alias -> Program(slug=ba-hons-political-science),0.9,true,false,programme-name variation,ba-h-political-science
src/data/exam-sessions-source.ts,session=2023-24 (Dec-Feb) Question Papers row=6,B.A. (H) Sanskrit,,,2023-24 (Dec-Feb) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sanskrit),alias -> Program(slug=ba-hons-sanskrit),0.9,true,false,programme-name variation,ba-h-sanskrit
